solute_smiles,solvent_smiles
[H][C@](C)(CC)[C@@]([H])(NC(C)=O)C(O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
OC(=O)CNC(=O)C1=C(O)C=C(C=N1)C1=CC(Cl)=CC=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
C1COCCOC2=C(OCCOCCOC3=C(OCCO1)C=CC=C3)C=CC=C2,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
N=C(C#N)C(=N)C#N,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C1=C(O2)C2=C(O[C@H](C2)C(C)=C)C=C1,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
CN1CCN(CC2=CC(C)=CC=C2)CC(C1)NC(=O)C1=NNC2=C1C=CC=C2,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
ClCC1=CC=C(C=C1)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
OC(=O)CN(CCC#N)CCC#N,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@@]12CC[C@@](C)([C@@H](O)[C@H]1NC(=O)[C@@H](O)C(C)(C)CO)C2(C)C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
C[C@H]1OC(=O)C(C1=O)C(C)(C)C1=C(CC(C)=O)[C@@H](C)OC1=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
[H][C@](O)(C1=CC=NC2=C1C=CC=C2)[C@@]1([H])C[C@@H]2CC[N@]1C[C@@H]2C=C,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
O=C(N=N#N)C1=C(C=CC=C1)N(=O)=O,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
NC(=O)C1=CC=CC2=NC3=CC=CC=C3N=C12,CCN1C=C[N+](C)C1.CCS([O-])(=O)(=O)
